Row,LS,CRPS,FSR10,FSR20,FSR80,FSR90
LS,-1.4020,-0.5620,-0.3600,-0.5850,-0.5820,-0.3460
CRPS,-1.4020,-0.5610,-0.3610,-0.5850,-0.5820,-0.3460
FSR10,-1.4170,-0.5660,-0.3600,-0.5860,-0.5940,-0.3560
FSR20,-1.4070,-0.5630,-0.3600,-0.5850,-0.5860,-0.3490
FSR80,-1.4110,-0.5640,-0.3670,-0.5930,-0.5820,-0.3460
FSR90,-1.4540,-0.5750,-0.3970,-0.6300,-0.5840,-0.3460
