Row,LS,CRPS,FSR10,FSR20,FSR80,FSR90
LS,-2.335,-1.248,-0.568,-0.873,-0.892,-0.574
CRPS,-2.452,-1.233,-0.625,-0.929,-0.967,-0.654
FSR10,-2.752,-2.12,-0.52,-0.843,-1.311,-0.96
FSR20,-2.472,-1.519,-0.528,-0.834,-1.045,-0.704
FSR80,-2.489,-1.532,-0.725,-1.049,-0.841,-0.526
FSR90,-2.736,-2.093,-0.957,-1.287,-0.842,-0.513
