Row,LS,CRPS,FSR10,FSR20,FSR80,FSR90
LS,-2.489,-1.641,-0.508,-0.825,-0.813,-0.494
CRPS,-2.492,-1.641,-0.51,-0.827,-0.814,-0.496
FSR10,-2.538,-1.715,-0.506,-0.824,-0.86,-0.533
FSR20,-2.504,-1.662,-0.506,-0.823,-0.828,-0.505
FSR80,-2.496,-1.653,-0.512,-0.832,-0.812,-0.493
FSR90,-2.519,-1.684,-0.529,-0.852,-0.813,-0.493
