Row,LS,CRPS,FSR10,FSR20,FSR80,FSR90
LS,-1.407,-0.559,-0.414,-0.669,-0.501,-0.307
CRPS,-1.413,-0.558,-0.427,-0.68,-0.5,-0.31
FSR10,-1.454,-0.57,-0.401,-0.654,-0.567,-0.377
FSR20,-1.482,-0.581,-0.401,-0.653,-0.598,-0.41
FSR80,-2.412,-0.628,-1.23,-1.66,-0.463,-0.277
FSR90,-3.603,-0.686,-1.972,-2.673,-0.475,-0.277
