Row,LS,CRPS,FSR10,FSR20,FSR80,FSR90
LS,-1.5100,-0.6240,-0.3760,-0.6020,-0.5930,-0.3630
CRPS,-1.5100,-0.6240,-0.3760,-0.6020,-0.5930,-0.3630
FSR10,-1.5120,-0.6250,-0.3770,-0.6020,-0.5950,-0.3650
FSR20,-1.5140,-0.6250,-0.3770,-0.6020,-0.5970,-0.3660
FSR80,-1.5180,-0.6260,-0.3810,-0.6090,-0.5940,-0.3630
FSR90,-1.5160,-0.6260,-0.3800,-0.6080,-0.5940,-0.3630
