3.4878,3.5766,3.0614,3.2705,3.3493,3.2298
3.1251,3.122,2.337,2.6143,3.2563,3.2775
2.8439,2.7953,2.8836,2.9828,2.6361,2.5181
3.2907,3.3482,2.5422,2.8385,3.2927,3.2539
3.5414,3.6467,2.8505,3.0871,3.464,3.3673
2.0863,1.8297,1.603,1.773,2.479,2.7096
3.2196,3.2739,2.4512,2.6469,3.2586,3.2706
3.2592,3.3023,2.9469,3.1097,3.0893,2.9744
3.4756,3.565,2.7858,3.0541,3.4402,3.3681
3.5502,3.6527,2.938,3.174,3.4619,3.3545
3.2176,3.2347,2.4462,2.717,3.3277,3.3382
3.3227,3.3822,2.9112,3.0928,3.17,3.0512
3.2164,3.2484,3.2179,3.3059,3.0358,2.9162
2.4837,2.332,1.687,2.0262,2.7726,2.9118
3.3274,3.404,2.7416,2.9252,3.1971,3.0947
2.7686,2.6971,3.188,3.1715,2.5849,2.4842
3.4536,3.5515,2.8544,3.071,3.366,3.2891
3.5429,3.6415,2.9804,3.2055,3.4438,3.3387
3.3652,3.4253,3.1522,3.3115,3.2073,3.0815
3.5482,3.6525,3.0421,3.2608,3.4412,3.3319
3.2852,3.3266,3.1396,3.2866,3.1128,2.9892
3.5428,3.648,2.9779,3.2086,3.4486,3.3502
2.9936,2.9551,2.291,2.5306,3.1746,3.2361
3.239,3.2759,2.4993,2.7291,3.3247,3.3434
3.2859,3.335,2.9377,3.1157,3.1279,3.0053
3.0709,3.0585,2.2664,2.5864,3.2001,3.2252
3.0319,3.0168,2.3855,2.6076,3.1809,3.233
3.3853,3.462,2.8623,3.0558,3.2492,3.1519
2.5727,2.44,1.8422,2.1339,2.8487,2.9708
3.4436,3.5416,2.6476,2.8709,3.4124,3.3747
1.7138,1.3821,1.5448,1.6497,2.1489,2.4264
3.2629,3.3414,2.6568,2.8278,3.1222,3.0423
3.4855,3.5755,3.1347,3.3182,3.3394,3.2234
3.5681,3.6703,2.9623,3.2242,3.4951,3.3945
3.2686,3.3071,3.1141,3.2693,3.093,2.9686
3.3949,3.4682,3.1884,3.3227,3.2334,3.1066
3.1478,3.1637,3.2145,3.2879,2.9659,2.8608
3.5225,3.6257,3.0698,3.2603,3.3967,3.2925
3.3472,3.3914,2.5909,2.8708,3.4206,3.4036
3.2109,3.2291,2.4944,2.7372,3.3251,3.3502
3.3528,3.4175,2.9257,3.113,3.2106,3.0946
2.9569,2.9313,3.2117,3.2327,2.7739,2.6697
3.3986,3.4733,2.7013,2.9763,3.3697,3.3111
3.5044,3.5892,2.7404,3.0107,3.5201,3.4649
3.17,3.1876,3.0545,3.2004,2.9906,2.8565
3.4824,3.5712,2.8122,3.086,3.4382,3.3545
3.4996,3.5867,3.0078,3.2286,3.3876,3.2672
3.5609,3.6586,2.9133,3.1798,3.5127,3.421
3.5042,3.5918,3.0421,3.2656,3.3909,3.2624
3.5725,3.6747,3.0139,3.261,3.4887,3.3738
3.5661,3.6625,2.8727,3.1463,3.5388,3.451
3.5112,3.6,3.0315,3.2548,3.3947,3.2684
3.5226,3.6107,2.8128,3.0918,3.5062,3.4307
3.4493,3.5185,2.6804,2.9528,3.4955,3.4583
3.2397,3.2727,3.0168,3.1811,3.0696,2.9337
3.5418,3.646,3.0501,3.2656,3.4298,3.3049
3.184,3.1882,2.4344,2.6997,3.3107,3.3339
3.1088,3.1066,2.4303,2.6582,3.2432,3.2907
3.4004,3.477,2.8901,3.094,3.2755,3.1581
