Row,LS,CRPS,FSR10,FSR20,FSR80,FSR90
LS,-1.4050,-0.5590,-0.4030,-0.6530,-0.5230,-0.3160
CRPS,-1.4080,-0.5590,-0.4110,-0.6590,-0.5230,-0.3180
FSR10,-1.4310,-0.5650,-0.3940,-0.6420,-0.5620,-0.3570
FSR20,-1.4540,-0.5730,-0.3940,-0.6420,-0.5860,-0.3820
FSR80,-1.7600,-0.5930,-0.7230,-1.0160,-0.5070,-0.3030
FSR90,-2.1400,-0.6280,-0.9860,-1.3600,-0.5120,-0.3030
